,overall_qual,year_built,roof_style,roof_matl,mas_vnr_area,exter_cond,bsmt_exposure,total_bsmt_sf,gr_liv_area,full_bath,kitchen_qual,garage_area,paved_drive,saleprice,attached_garage,has_basement,offsite_feature,residential_low,residential_other,floating_village,hillside,banked,culdesac,northridge,northridge_hts,briardale
68,5,1956,1,0,0.0,3,0.0,928.0,928,1,2,252.0,1,132000,1.0,1,0,1,0,0,0,0,0,0,0,0
69,5,1969,0,0,128.0,3,0.0,1288.0,1336,2,2,502.0,1,163000,1.0,1,0,1,0,0,0,0,0,0,0,0
70,6,1969,0,0,0.0,3,0.0,1427.0,1427,2,2,516.0,1,183000,1.0,1,0,1,0,0,0,0,0,0,0,0
71,7,1996,0,0,254.0,3,0.0,860.0,1992,2,3,608.0,1,211000,1.0,1,0,1,0,0,0,0,0,0,0,0
72,7,1994,0,0,0.0,3,0.0,754.0,1540,2,3,495.0,1,184000,1.0,1,0,1,0,0,0,0,0,0,0,0
73,5,1979,0,0,0.0,3,0.0,0.0,1535,2,2,400.0,1,118858,1.0,0,0,1,0,0,0,1,0,0,0,0
74,8,2006,0,0,30.0,3,0.0,1141.0,1151,2,3,484.0,1,166000,1.0,1,0,0,0,1,0,0,0,0,0,0
75,6,1960,1,0,54.0,3,0.0,1138.0,1138,1,2,480.0,1,148000,1.0,1,0,1,0,0,0,0,0,0,0,0
76,5,1956,1,0,0.0,3,0.0,894.0,1074,1,3,396.0,1,124000,0.0,1,0,1,0,0,0,0,0,0,0,0
77,9,2005,1,0,246.0,3,0.0,1561.0,1561,2,4,556.0,1,277500,1.0,1,0,1,0,0,0,0,0,0,1,0
78,8,1995,1,0,397.0,3,0.0,1342.0,2726,2,3,725.0,1,350000,1.0,1,0,1,0,0,0,0,0,1,0,0
79,9,2004,1,0,296.0,3,1.0,1884.0,1884,2,4,670.0,1,387000,1.0,1,0,1,0,0,1,0,1,0,0,0
80,4,1920,0,0,0.0,3,0.0,528.0,605,1,2,0.0,0,86000,0.0,1,0,1,0,0,0,0,0,0,0,0
81,8,1976,0,0,0.0,5,0.0,1426.0,1671,3,4,550.0,1,290000,1.0,1,0,1,0,0,0,0,0,0,0,0
82,3,1900,0,0,0.0,2,0.0,245.0,797,1,2,0.0,0,44000,0.0,1,0,0,0,0,0,0,0,0,0,0
83,6,2001,0,0,0.0,3,0.0,804.0,1961,2,3,560.0,1,215000,1.0,1,0,1,0,0,0,0,1,0,0,0
84,5,1972,0,0,144.0,3,0.0,1153.0,1193,2,2,501.0,1,146500,1.0,1,0,1,0,0,0,0,0,0,0,0
85,7,2000,0,0,0.0,3,0.0,673.0,1382,2,3,490.0,1,165000,0.0,1,0,0,0,1,0,0,0,0,0,0
86,6,1916,0,0,0.0,4,0.0,714.0,2526,2,3,216.0,1,136000,0.0,1,0,0,1,0,0,0,0,0,0,0
87,6,1957,0,0,902.0,3,1.0,1705.0,1390,1,4,550.0,1,252000,1.0,1,0,1,0,0,0,0,1,0,0,0
88,5,1939,0,0,0.0,3,0.0,690.0,1558,1,2,400.0,1,150000,0.0,1,0,0,1,0,0,0,0,0,0,0
89,5,1960,1,0,0.0,3,0.0,978.0,1422,1,2,286.0,1,139900,1.0,1,0,1,0,0,0,0,0,0,0,0
90,5,1930,0,0,0.0,3,0.0,1078.0,1573,2,2,360.0,0,162900,0.0,1,0,0,1,0,0,0,0,0,0,0
91,2,1947,0,0,0.0,3,0.0,0.0,660,1,1,0.0,0,63900,0.0,0,0,1,0,0,0,0,0,0,0,0
92,6,1978,0,0,144.0,3,0.0,1140.0,1707,2,2,479.0,1,184000,1.0,1,0,1,0,0,0,0,0,0,0,0
93,5,1959,0,0,132.0,3,0.0,1466.0,1466,1,1,528.0,1,149900,1.0,1,0,1,0,0,0,0,0,0,0,0
94,9,2000,1,0,260.0,3,0.0,1614.0,1638,2,4,495.0,1,300000,1.0,1,0,0,0,1,0,0,0,0,0,0
95,5,1960,0,0,275.0,3,0.0,988.0,1721,2,2,626.0,1,145000,0.0,1,0,1,0,0,0,0,0,0,0,0
96,6,1997,0,0,0.0,3,0.0,928.0,1764,2,3,470.0,1,231500,1.0,1,0,1,0,0,0,0,0,0,0,0
97,5,1940,0,0,0.0,3,0.0,996.0,996,1,2,0.0,1,108000,0.0,1,0,1,0,0,0,0,0,0,0,0
98,5,1956,0,0,0.0,3,0.0,1202.0,1202,1,2,304.0,1,120000,1.0,1,0,1,0,0,0,0,0,0,0,0
99,5,1961,1,0,57.0,3,0.0,988.0,988,1,2,572.0,1,128500,0.0,1,0,1,0,0,0,0,0,0,0,0
100,5,1947,0,0,0.0,3,0.0,720.0,1284,1,2,240.0,1,110000,0.0,1,0,0,1,0,0,0,0,0,0,0
101,9,1977,0,0,1050.0,4,0.0,994.0,2944,2,3,864.0,1,150000,1.0,1,0,1,0,0,0,0,1,0,0,0
102,8,2004,0,0,0.0,3,0.0,707.0,1414,2,3,403.0,1,178000,1.0,1,0,1,0,0,0,0,0,0,0,0
103,7,1932,0,0,0.0,3,0.0,637.0,1609,1,3,579.0,1,199500,0.0,1,0,1,0,0,1,0,0,0,0,0
104,6,1997,0,0,0.0,3,0.0,813.0,1525,2,2,400.0,1,183500,1.0,1,0,1,0,0,0,0,0,0,0,0
105,5,1967,1,0,0.0,3,0.0,624.0,1656,1,2,288.0,1,126000,1.0,1,0,0,1,0,0,0,0,0,0,0
106,7,1977,0,0,0.0,3,0.0,1055.0,1055,2,2,440.0,1,148500,1.0,1,0,1,0,0,0,0,0,0,0,0
107,5,1939,0,0,0.0,4,0.0,676.0,1352,2,3,720.0,1,149000,0.0,1,0,1,0,0,0,0,0,0,0,0
108,6,1977,0,0,0.0,3,0.0,855.0,1456,2,2,440.0,1,137900,1.0,1,0,1,0,0,0,0,0,0,0,0
109,8,1993,0,0,0.0,3,1.0,1719.0,1719,1,3,473.0,1,324000,1.0,1,0,1,0,0,0,0,1,0,0,0
110,5,1925,0,0,0.0,3,0.0,864.0,864,1,2,0.0,1,98000,0.0,1,0,1,0,0,0,0,0,0,0,0
111,6,1973,0,0,359.0,3,0.0,483.0,987,1,2,264.0,1,103400,0.0,1,0,0,1,0,0,0,0,0,0,1
112,8,2006,0,0,108.0,3,0.0,1554.0,1554,2,3,627.0,1,209500,1.0,1,0,1,0,0,0,0,0,0,1,0
113,10,2006,1,0,662.0,3,1.0,1528.0,3390,3,4,758.0,1,545224,1.0,1,0,1,0,0,1,0,1,0,0,0
114,6,2000,0,0,0.0,3,0.0,982.0,1889,2,2,431.0,1,215000,1.0,1,0,1,0,0,0,0,0,0,0,0
115,6,1931,0,0,0.0,3,0.0,884.0,1367,1,2,560.0,1,127500,0.0,1,0,0,1,0,0,0,0,0,0,0
116,7,2003,0,0,500.0,3,0.0,0.0,1922,3,3,672.0,1,198500,1.0,0,0,1,0,0,0,0,0,0,0,0
117,6,1981,0,0,210.0,4,0.0,1422.0,1422,2,3,576.0,1,175500,1.0,1,0,1,0,0,0,0,0,0,0,0
118,7,2000,0,0,144.0,3,0.0,985.0,1842,2,3,486.0,1,217500,1.0,1,0,1,0,0,0,0,0,0,0,0
119,5,1966,1,0,165.0,3,0.0,864.0,1120,1,2,656.0,1,148800,1.0,1,0,1,0,0,0,0,0,0,0,0
120,9,2005,1,0,208.0,3,0.0,1992.0,2868,3,4,716.0,1,556581,1.0,1,0,1,0,0,0,0,0,0,0,0
121,6,1957,1,0,0.0,3,0.0,1478.0,1478,1,2,442.0,1,156500,1.0,1,0,1,0,0,0,0,0,0,0,0
122,7,1995,0,0,0.0,4,0.0,930.0,1995,2,3,610.0,1,237000,1.0,1,0,1,0,0,0,0,0,0,0,0
123,5,1958,0,0,0.0,3,0.0,912.0,912,1,2,297.0,1,120000,1.0,1,0,1,0,0,0,0,0,0,0,0
124,6,2005,0,0,0.0,3,0.0,1326.0,1326,2,3,388.0,1,203000,1.0,1,0,1,0,0,0,0,0,0,0,0
125,8,1987,0,0,0.0,3,0.0,1191.0,1204,2,2,461.0,1,130000,1.0,1,0,1,0,0,0,0,0,0,0,0
126,6,1964,0,0,360.0,3,1.0,780.0,1611,1,2,442.0,1,167900,1.0,1,0,1,0,0,0,0,0,0,0,0
127,4,1970,0,0,160.0,3,0.0,960.0,960,1,2,576.0,1,129000,0.0,1,0,1,0,0,0,0,0,0,0,0
128,5,1957,0,0,64.0,3,0.0,1070.0,1236,1,3,447.0,1,134450,1.0,1,0,1,0,0,0,0,0,0,0,0
129,5,1918,0,0,0.0,4,0.0,816.0,1416,2,3,576.0,0,112000,1.0,1,0,1,0,0,0,0,0,0,0,0
130,7,1988,0,0,360.0,3,0.0,929.0,1873,2,3,619.0,1,207000,1.0,1,0,1,0,0,0,0,0,0,0,0
131,5,1922,1,0,0.0,3,0.0,1040.0,2128,2,2,0.0,1,62500,0.0,1,0,0,1,0,0,1,0,0,0,0
132,7,2003,0,0,106.0,3,0.0,764.0,1626,2,3,474.0,1,154000,1.0,1,0,1,0,0,0,0,0,0,1,0
133,5,1957,0,0,0.0,3,0.0,816.0,816,1,2,308.0,1,129900,0.0,1,0,1,0,0,0,0,0,0,0,0
134,7,1926,0,0,0.0,3,0.0,572.0,1111,1,2,288.0,1,116900,0.0,1,0,0,1,0,0,0,0,0,0,0
135,6,1978,0,0,0.0,3,0.0,855.0,1441,2,2,440.0,1,148500,1.0,1,0,1,0,0,0,0,0,0,0,0
136,5,1984,0,0,0.0,3,0.0,1060.0,1126,1,2,506.0,1,152000,1.0,1,0,1,0,0,0,0,1,0,0,0
137,6,1920,0,0,0.0,4,0.0,768.0,1376,1,3,576.0,0,165000,0.0,1,0,1,0,0,0,1,0,0,0,0
138,5,1942,0,0,224.0,3,0.0,728.0,1644,1,3,312.0,1,146500,1.0,1,0,1,0,0,0,0,0,0,0,0
139,7,1978,0,0,206.0,3,0.0,1271.0,1601,2,2,478.0,1,157000,1.0,1,0,1,0,0,0,0,0,0,0,0
140,7,1890,0,0,0.0,3,0.0,1313.0,2495,2,2,342.0,1,184000,0.0,1,0,0,1,0,0,0,0,0,0,0
141,6,2002,0,0,0.0,3,0.0,783.0,1509,2,3,393.0,1,183200,1.0,1,0,1,0,0,0,0,0,0,0,0
142,5,1962,0,0,116.0,3,0.0,1092.0,1092,1,2,288.0,1,139000,1.0,1,0,1,0,0,0,0,0,0,0,0
143,7,1993,1,0,651.0,3,1.0,1311.0,2418,2,3,983.0,1,341000,1.0,1,0,1,0,0,0,0,0,1,0,0
144,5,1975,0,0,0.0,3,0.0,1056.0,1074,1,2,495.0,1,153500,1.0,1,0,1,0,0,0,0,0,0,0,0
145,1,1952,0,0,0.0,1,0.0,0.0,733,1,1,487.0,0,13100,1.0,0,0,0,0,0,0,0,0,0,0,0
146,7,2003,0,0,252.0,3,0.0,884.0,1768,2,3,543.0,1,224900,1.0,1,0,1,0,0,0,0,0,0,0,0
147,7,2005,0,0,0.0,3,0.0,1257.0,1266,2,3,453.0,1,176000,1.0,1,0,0,0,1,0,0,0,0,0,0
148,8,1992,1,0,337.0,3,0.0,1683.0,2872,2,3,541.0,1,285000,1.0,1,0,1,0,0,0,0,0,1,0,0
149,8,2007,0,0,84.0,3,1.0,1485.0,1464,2,3,754.0,1,282922,1.0,1,0,1,0,0,0,0,1,0,0,0
150,7,1966,0,0,309.0,3,0.0,924.0,2157,2,3,487.0,1,226000,1.0,1,0,1,0,0,0,0,0,0,0,0
151,8,2006,1,0,466.0,3,0.0,1234.0,2576,2,4,666.0,1,361919,1.0,1,0,1,0,0,0,0,0,0,0,0
152,9,2005,1,0,600.0,5,1.0,1398.0,2798,3,4,670.0,1,457347,1.0,1,0,1,0,0,1,0,1,0,0,0
153,8,1976,0,1,0.0,3,1.0,966.0,1743,0,3,529.0,1,279000,1.0,1,0,1,0,0,0,0,0,0,0,0
154,6,1977,0,0,0.0,3,1.0,1567.0,1567,2,3,714.0,1,196000,1.0,1,0,1,0,0,0,0,0,0,0,0
155,7,1976,0,0,189.0,3,0.0,1090.0,1370,2,2,479.0,1,152000,1.0,1,0,1,0,0,0,0,0,0,0,0
156,5,1969,0,0,368.0,3,0.0,1248.0,2634,2,2,968.0,1,200000,0.0,1,0,1,0,0,0,0,0,0,0,0
157,8,2005,1,0,198.0,3,1.0,1570.0,1590,2,4,754.0,1,294900,1.0,1,0,1,0,0,0,0,0,0,0,0
158,7,2008,0,0,140.0,3,0.0,1450.0,1450,2,3,788.0,1,224243,1.0,1,0,1,0,0,0,0,0,0,0,0
159,6,1915,0,0,0.0,2,0.0,832.0,1338,2,2,528.0,0,92000,0.0,1,0,1,0,0,0,1,0,0,0,0
160,7,2007,1,0,0.0,3,0.0,728.0,1456,2,3,400.0,1,179540,1.0,1,0,1,0,0,0,0,0,0,0,0
161,10,2003,1,0,922.0,3,1.0,2392.0,2392,2,4,968.0,1,386250,1.0,1,0,1,0,0,0,0,0,0,1,0
162,4,1970,0,0,0.0,3,0.0,530.0,992,1,2,297.0,1,106500,1.0,1,0,0,1,0,0,0,0,0,0,0
163,10,2008,0,0,160.0,3,0.0,1017.0,2007,2,4,812.0,1,310000,1.0,1,0,0,0,1,0,0,0,0,0,0
164,7,1998,0,0,275.0,3,0.0,1066.0,2385,2,3,600.0,1,252000,1.0,1,0,1,0,0,0,0,0,1,0,0
165,7,1941,0,0,0.0,4,0.0,918.0,1646,2,2,240.0,1,164000,0.0,1,0,1,0,0,0,0,0,0,0,0
166,7,2007,0,0,16.0,3,0.0,728.0,1456,2,3,400.0,1,177594,1.0,1,0,1,0,0,0,0,0,0,0,0
167,6,1918,1,0,0.0,3,0.0,1370.0,2624,2,2,864.0,0,239000,0.0,1,0,1,0,0,0,0,0,0,0,0
168,7,2003,0,0,18.0,3,1.0,1374.0,1557,2,3,420.0,1,234000,1.0,1,0,1,0,0,0,0,0,0,0,0
169,6,1977,0,0,0.0,3,0.0,957.0,1287,1,2,541.0,1,173000,1.0,1,0,1,0,0,0,1,0,0,0,0
170,7,2007,0,0,0.0,3,0.0,1162.0,1162,2,3,483.0,1,170000,1.0,1,0,1,0,0,0,0,0,0,0,0
171,7,2008,0,0,0.0,3,0.0,1436.0,1436,2,3,529.0,1,225000,1.0,1,0,0,0,1,0,0,0,0,0,0
172,5,1963,0,0,0.0,4,0.0,960.0,960,1,3,300.0,1,144900,1.0,1,0,1,0,0,0,0,0,0,0,0
173,5,1952,1,0,0.0,3,0.0,1031.0,1031,1,3,230.0,1,145500,1.0,1,0,1,0,0,0,0,0,0,0,0
174,4,1900,0,0,0.0,4,0.0,448.0,720,1,1,280.0,1,86900,1.0,1,0,1,0,0,0,0,0,0,0,0
175,6,1953,1,0,90.0,3,0.0,1505.0,1505,1,2,505.0,1,149500,1.0,1,0,1,0,0,0,0,0,0,0,0
176,5,1938,0,0,0.0,4,0.0,920.0,954,1,1,240.0,1,119750,0.0,1,0,1,0,0,0,1,0,0,0,0
177,6,2005,0,0,0.0,3,0.0,750.0,1500,2,3,564.0,1,173900,1.0,1,0,1,0,0,0,0,0,0,0,0
178,5,1961,1,0,0.0,3,0.0,1050.0,1050,1,2,368.0,1,136500,1.0,1,0,1,0,0,0,0,0,0,0,0
179,8,1994,0,0,0.0,3,0.0,2062.0,2687,2,3,618.0,1,270000,1.0,1,0,1,0,0,0,0,0,0,0,0
180,6,1960,0,0,0.0,3,1.0,1602.0,1252,1,2,564.0,1,235000,1.0,1,0,1,0,0,0,0,0,0,0,0
181,7,1999,0,0,0.0,3,0.0,384.0,1430,2,2,400.0,1,156000,1.0,1,0,1,0,0,0,0,0,0,0,0
182,5,2003,0,0,0.0,3,0.0,1114.0,1114,2,3,576.0,1,153000,0.0,1,0,1,0,0,0,0,0,0,0,0
183,6,1999,1,0,425.0,3,0.0,1224.0,1224,2,2,402.0,1,165000,1.0,1,0,0,1,0,0,0,0,0,0,0
184,9,2005,1,0,245.0,3,0.0,1122.0,2504,2,4,656.0,1,325000,1.0,1,0,1,0,0,0,0,0,0,0,0
185,5,1941,0,0,0.0,3,0.0,728.0,1355,2,2,528.0,1,140000,0.0,1,0,1,0,0,0,0,0,0,0,0
186,6,1963,0,0,234.0,3,0.0,741.0,2294,3,2,658.0,1,202500,1.0,1,0,0,1,0,0,0,0,0,0,0
187,9,2008,1,0,766.0,3,0.0,1702.0,1702,1,4,1052.0,1,367294,1.0,1,0,1,0,0,0,0,0,0,1,0
188,6,1988,0,0,219.0,3,0.0,1461.0,1509,2,3,600.0,1,175000,1.0,1,0,1,0,0,0,0,0,0,0,0
189,7,1915,0,0,0.0,3,0.0,756.0,1717,1,3,642.0,1,140000,0.0,1,0,1,0,0,0,0,0,0,0,0
190,7,1985,0,0,0.0,3,0.0,1265.0,1240,2,3,528.0,1,174000,1.0,1,0,1,0,0,0,0,1,0,0,0
191,7,2005,0,0,182.0,3,1.0,856.0,1166,2,3,400.0,1,190000,1.0,1,0,1,0,0,0,0,0,0,0,0
192,5,1910,0,0,0.0,3,0.0,504.0,1464,2,2,0.0,0,129000,0.0,1,0,0,1,0,0,0,0,0,0,0
193,6,1959,0,0,136.0,4,0.0,1592.0,1652,1,3,510.0,1,200000,1.0,1,0,1,0,0,0,0,0,0,0,0
194,6,1968,0,0,576.0,4,0.0,896.0,2142,2,3,509.0,1,193500,1.0,1,0,1,0,0,0,0,0,0,0,0
195,6,1964,1,0,260.0,3,0.0,1092.0,1092,1,2,504.0,1,145000,1.0,1,0,1,0,0,0,0,0,0,0,0
196,7,1929,0,0,270.0,4,0.0,1022.0,1671,2,2,451.0,1,218000,0.0,1,0,1,0,0,0,0,0,0,0,0
197,5,1952,0,0,232.0,3,0.0,0.0,1488,1,2,569.0,1,135000,1.0,0,0,1,0,0,0,0,0,0,0,0
198,5,1952,0,0,150.0,4,0.0,1444.0,1624,1,2,240.0,1,146500,1.0,1,0,1,0,0,0,0,0,0,0,0
199,6,2005,0,0,256.0,3,0.0,1362.0,1362,2,3,460.0,1,194700,1.0,1,0,1,0,0,0,0,0,0,1,0
200,7,2007,0,0,210.0,3,0.0,1218.0,1218,2,3,462.0,1,230348,1.0,1,0,0,0,1,0,0,0,0,0,0
201,6,1979,0,0,0.0,3,1.0,1625.0,1625,2,1,576.0,1,242500,1.0,1,0,1,0,0,0,0,0,0,0,0
202,7,1987,0,0,0.0,4,0.0,1064.0,1767,2,3,504.0,1,239000,1.0,1,0,1,0,0,0,0,0,0,0,0
