,overall_qual,year_built,roof_style,roof_matl,mas_vnr_area,exter_cond,bsmt_exposure,total_bsmt_sf,gr_liv_area,full_bath,kitchen_qual,garage_area,paved_drive,saleprice,attached_garage,has_basement,offsite_feature,residential_low,residential_other,floating_village,hillside,banked,culdesac,northridge,northridge_hts,briardale,log_gr_liv_area,log_total_bsmt_sf,sqrt_gr_liv_area
10,5,1963,0,0,0.0,3,0.0,1121.0,1121,1,2,480.0,1,139000,0.0,1,0,1,0,0,0,0,0,0,0,0,7.02197642307216,7.021985343638973,33.481338085566414
11,6,1977,0,0,148.0,3,0.0,660.0,1285,1,2,528.0,1,143500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.158513997329321,6.49225498642084,35.84689665786984
12,5,1968,0,0,0.0,3,0.0,894.0,894,1,2,450.0,1,129000,1.0,1,0,1,0,0,0,0,0,0,0,0,6.795705775173514,6.795716960793282,29.899832775452108
13,8,2000,0,0,0.0,3,0.0,1501.0,1659,2,4,499.0,1,278000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.413970290190444,7.313893493836453,40.7308237088326
14,8,2005,0,0,0.0,3,0.0,1209.0,2253,2,4,575.0,1,344133,1.0,1,0,1,0,0,0,0,0,0,1,0,7.720017940432244,7.09755712187918,47.46577714522327
15,5,1955,1,0,0.0,3,0.0,1056.0,1056,1,2,572.0,1,145000,1.0,1,0,1,0,0,0,1,0,0,0,0,6.962243464266207,6.962252933918339,32.49615361854384
16,6,1961,1,0,3.0,3,0.0,1453.0,1453,2,2,530.0,1,187500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.2813856635702825,7.281392545859057,38.118237105091836
17,5,1937,0,0,0.0,3,0.0,942.0,1938,2,3,240.0,1,198000,0.0,1,0,1,0,0,1,0,0,0,0,0,7.569411792450712,6.848015890231269,44.02272140611028
18,5,1895,0,0,0.0,4,0.0,957.0,1991,2,2,0.0,0,119600,0.0,1,0,0,0,0,0,0,0,0,0,0,7.596392304064196,6.863813840719154,44.62062303464621
19,5,1949,0,0,0.0,4,0.0,672.0,924,1,2,576.0,1,122900,0.0,1,0,1,0,0,0,0,0,0,0,0,6.828712071641684,6.51027322136481,30.397368307141328
20,8,1981,1,1,0.0,3,0.0,2524.0,2524,2,3,542.0,1,278000,1.0,1,1,1,0,0,0,0,0,0,0,0,7.8336002236611035,7.83360418561839,50.23942674832188
21,8,1929,0,0,0.0,3,0.0,792.0,1517,1,3,400.0,1,230000,0.0,1,0,1,0,0,1,0,0,0,0,0,7.324489979348532,6.674574017997341,38.948684188300895
22,8,1995,1,0,0.0,4,0.0,1494.0,1494,1,4,481.0,1,270000,1.0,1,0,1,0,0,0,0,1,0,0,0,7.309212365692763,7.30921905911079,38.65229618017538
23,6,1952,1,0,0.0,3,0.0,948.0,948,1,2,410.0,0,125000,0.0,1,0,1,0,0,0,0,0,0,0,0,6.854354502255021,6.854365050722593,30.789608636681304
24,8,2007,1,0,336.0,3,1.0,1705.0,1718,2,3,826.0,1,297000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.4489161025442,7.441326254803057,41.44876355212541
25,6,1958,0,0,82.0,3,1.0,160.0,1142,1,2,384.0,1,113500,0.0,1,0,1,0,0,1,0,0,0,0,0,7.040536390215956,5.075236313280783,33.793490497431605
26,5,1977,0,0,0.0,3,0.0,757.0,1475,2,2,336.0,1,127000,1.0,1,0,0,1,0,0,0,0,0,0,0,7.29641326877392,6.629376463389827,38.40572873934304
27,7,1973,1,0,320.0,3,0.0,1242.0,1242,1,2,528.0,1,175500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.124478262493424,7.1244863139908015,35.24202037341219
28,5,1994,0,0,0.0,4,0.0,990.0,990,1,2,384.0,1,146000,0.0,1,0,1,0,0,0,0,0,0,0,0,6.897704943128636,6.897715044087722,31.464265445104548
29,5,1965,0,0,0.0,3,0.0,1256.0,1256,1,2,276.0,1,147500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.135687347028144,7.135695308779889,35.4400902933387
30,10,2006,0,0,0.0,3,1.0,2076.0,2076,2,4,850.0,1,465000,1.0,1,0,1,0,0,0,0,0,0,1,0,7.638198244285779,7.638203061229862,45.56314299957807
31,5,1978,0,0,104.0,4,0.0,1097.0,1110,1,3,602.0,1,165500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.01211529430638,7.0003435760039645,33.31666249791537
32,5,1954,0,0,335.0,3,0.0,1050.0,1795,2,2,352.0,1,131500,1.0,1,0,0,1,0,0,0,0,0,0,0,7.492760300922379,6.956554966915742,42.36744032862972
33,5,1965,1,0,0.0,3,0.0,1040.0,1040,1,2,384.0,1,129500,0.0,1,0,1,0,0,0,0,0,0,0,0,6.946975992135418,6.946985607473806,32.2490309931942
34,8,1935,0,0,40.0,3,0.0,608.0,1873,1,2,786.0,1,257076,0.0,1,0,1,0,0,1,0,0,0,0,0,7.5352967024440884,6.410191329199332,43.278170016764804
35,5,1941,0,0,0.0,3,0.0,984.0,1604,2,2,660.0,1,117000,0.0,1,0,1,0,0,0,0,0,0,0,0,7.38025578842646,6.891636059602241,40.049968789001575
36,7,1931,0,0,0.0,2,0.0,776.0,1502,1,2,270.0,0,149000,1.0,1,0,1,0,0,1,0,0,0,0,0,7.31455283232408,6.654165406698126,38.7556447501522
37,7,2003,0,0,106.0,3,0.0,764.0,1626,2,3,474.0,1,155000,1.0,1,0,1,0,0,0,0,0,0,1,0,7.3938782901077555,6.6385808780860955,40.32369030731191
38,6,2000,0,0,513.0,3,0.0,756.0,1524,2,3,440.0,1,166000,0.0,1,0,0,0,1,0,0,0,0,0,0,7.329093736246592,6.628054603605277,39.03844259188627
39,4,1928,0,0,0.0,3,0.0,1122.0,1981,2,3,576.0,1,135000,0.0,1,0,1,0,0,0,0,0,0,0,0,7.591357046698551,7.022876998698895,44.50842616853577
40,7,1978,0,0,184.0,3,0.0,1392.0,2784,3,3,564.0,1,250000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.931644021454311,7.238504024776606,52.76362383309168
41,6,1951,1,0,522.0,3,0.0,216.0,1575,1,3,400.0,1,155000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.362010551259734,5.375324702908821,39.68626966596886
42,5,1954,0,0,0.0,4,0.0,936.0,936,1,2,240.0,1,121000,1.0,1,0,1,0,0,0,0,0,0,0,0,6.841615476477592,6.841626160181205,30.59411708155671
43,6,1953,1,0,0.0,3,0.0,1040.0,1040,1,2,293.0,1,136000,1.0,1,0,1,0,0,0,0,0,0,0,0,6.946975992135418,6.946985607473806,32.2490309931942
44,6,1996,0,0,0.0,3,0.0,916.0,1636,2,2,386.0,1,173000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.400009517162692,6.820027281645108,40.44749683231337
45,8,2007,0,0,0.0,3,0.0,1184.0,2610,2,4,550.0,1,303477,1.0,1,0,0,0,1,0,0,0,0,0,0,7.867105500316739,7.0766622613542305,51.088159097779204
46,5,1920,0,0,0.0,2,0.0,936.0,1740,1,4,225.0,0,122250,0.0,1,0,0,1,0,0,0,0,0,0,0,7.461640392208575,6.841626160181205,41.71330722922842
47,5,1955,0,0,0.0,3,0.0,1382.0,1382,1,3,350.0,1,153000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.231287004327616,7.231294240191451,37.17526059088221
48,5,2007,0,0,0.0,3,0.0,1120.0,1120,1,2,0.0,1,147000,0.0,1,0,1,0,0,0,0,0,0,0,0,7.02108396428914,7.021092892820709,33.46640106136302
49,7,1930,0,0,0.0,3,0.0,531.0,1098,1,2,216.0,1,148500,0.0,1,0,1,0,0,0,0,0,0,0,0,7.001245622069476,6.274780853456325,33.13608305156178
50,7,2004,0,0,117.0,3,0.0,976.0,1708,2,3,380.0,1,130000,0.0,1,0,0,1,0,0,0,0,0,0,0,7.443078374348516,6.8834728322622425,41.32795663954365
51,9,2006,1,0,510.0,3,1.0,1802.0,1802,2,4,843.0,1,372000,1.0,1,0,1,0,0,1,0,0,0,1,0,7.496652438168283,7.496657987542452,42.44997055358225
52,7,2005,0,0,145.0,3,1.0,1362.0,1506,2,3,440.0,1,213490,1.0,1,0,1,0,0,0,0,0,0,0,0,7.317212408359839,7.21671682882641,38.80721582386451
53,7,1996,0,0,668.0,3,0.0,1840.0,2032,3,3,786.0,1,300000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.616775808698373,7.517526285370872,45.077710678338576
54,6,1959,1,0,0.0,3,0.0,655.0,1194,1,2,539.0,1,159500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.085064293952548,6.484650502694282,34.55430508634199
55,7,2004,0,0,50.0,3,0.0,970.0,1709,2,3,380.0,1,137500,0.0,1,0,0,1,0,0,0,0,0,0,0,7.443663683115591,6.877306380722639,41.340053217188775
56,7,2005,0,0,228.0,3,0.0,1616.0,1616,2,3,834.0,1,232000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.38770923908104,7.387715427180706,40.19950248448356
57,6,1930,0,0,0.0,4,0.0,768.0,768,1,2,440.0,0,93850,0.0,1,0,0,1,0,0,0,0,0,0,0,6.643789733147672,6.643802753896235,27.712812921102035
58,5,1924,0,0,65.0,3,0.0,872.0,872,1,1,322.0,0,105000,0.0,1,0,1,0,0,0,0,0,0,0,0,6.77078942390898,6.770800891733132,29.5296461204668
59,4,1927,0,0,0.0,3,0.0,520.0,520,1,1,240.0,1,68500,0.0,1,0,0,1,0,0,0,0,0,0,0,6.253828811575473,6.253848042159795,22.80350850198276
60,5,1925,0,0,0.0,4,0.0,936.0,1601,2,2,0.0,0,129850,0.0,1,0,0,1,0,0,0,0,0,0,0,7.3783837129967145,6.841626160181205,40.01249804748511
61,5,1910,0,0,0.0,3,0.0,616.0,1232,1,2,480.0,1,114000,0.0,1,0,0,1,0,0,0,0,0,0,0,7.116394144093465,6.423263197167987,35.09985754956849
62,9,2008,1,0,748.0,3,0.0,2216.0,2234,2,4,1166.0,1,501837,1.0,1,0,1,0,0,0,0,1,0,0,0,7.711548979629146,7.703463560492372,47.265209192385896
63,5,1915,0,0,0.0,3,0.0,876.0,1416,1,2,720.0,1,153900,0.0,1,0,0,1,0,0,0,0,0,0,0,7.255591274253665,6.775377506396349,37.62977544445356
64,4,1971,0,0,0.0,4,0.0,864.0,864,1,2,576.0,1,130000,0.0,1,0,1,0,0,0,0,0,0,0,0,6.761572768804055,6.76158434281115,29.393876913398138
65,6,1997,1,0,197.0,3,0.0,1189.0,1189,2,2,392.0,1,160500,1.0,1,0,0,1,0,0,0,0,0,0,0,7.080867896690782,7.080876307084346,34.48187929913333
66,9,2006,1,0,572.0,3,0.0,1666.0,1666,2,3,575.0,1,310090,1.0,1,0,1,0,0,0,0,0,0,1,0,7.418180822726788,7.418186825109734,40.8166632639171
67,7,2003,0,0,0.0,3,0.0,1176.0,1200,2,3,555.0,1,184900,1.0,1,0,1,0,0,0,0,0,0,0,0,7.090076835776092,7.069882631823779,34.64101615137755
68,5,1956,1,0,0.0,3,0.0,928.0,928,1,2,252.0,1,132000,1.0,1,0,1,0,0,0,0,0,0,0,0,6.833031732786201,6.833042508590211,30.463092423455635
69,5,1969,0,0,128.0,3,0.0,1288.0,1336,2,2,502.0,1,163000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.197435354096591,7.160853670609315,36.55133376499413
70,6,1969,0,0,0.0,3,0.0,1427.0,1427,2,2,516.0,1,183000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.2633296174768365,7.263336625160762,37.77565353504821
71,7,1996,0,0,254.0,3,0.0,860.0,1992,2,3,608.0,1,211000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.596894438144544,6.756944017086926,44.63182720884279
72,7,1994,0,0,0.0,3,0.0,754.0,1540,2,3,495.0,1,184000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.3395376954076745,6.625405630519478,39.242833740697165
73,5,1979,0,0,0.0,3,0.0,0.0,1535,2,2,400.0,1,118858,1.0,0,0,1,0,0,0,1,0,0,0,0,7.336285660021297,-4.605170185988091,39.179076048319466
74,8,2006,0,0,30.0,3,0.0,1141.0,1151,2,3,484.0,1,166000,1.0,1,0,0,0,1,0,0,0,0,0,0,7.048386408721883,7.039669114065563,33.926390907374746
75,6,1960,1,0,54.0,3,0.0,1138.0,1138,1,2,480.0,1,148000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.037027614686276,7.037036401993889,33.734255586866
76,5,1956,1,0,0.0,3,0.0,894.0,1074,1,3,396.0,1,124000,0.0,1,0,1,0,0,0,0,0,0,0,0,6.97914527506881,6.795716960793282,32.77193921634788
77,9,2005,1,0,246.0,3,0.0,1561.0,1561,2,4,556.0,1,277500,1.0,1,0,1,0,0,0,0,0,0,1,0,7.353081920515432,7.353088326644817,39.50949253027682
78,8,1995,1,0,397.0,3,0.0,1342.0,2726,2,3,725.0,1,350000,1.0,1,0,1,0,0,0,0,0,1,0,0,7.9105906122564775,7.201923769068693,52.21110992882645
79,9,2004,1,0,296.0,3,1.0,1884.0,1884,2,4,670.0,1,387000,1.0,1,0,1,0,0,1,0,1,0,0,0,7.5411524551363085,7.541157762977848,43.40506882842141
80,4,1920,0,0,0.0,3,0.0,528.0,605,1,2,0.0,0,86000,0.0,1,0,1,0,0,0,0,0,0,0,0,6.405228458030842,6.269115222920853,24.596747752497688
81,8,1976,0,0,0.0,5,0.0,1426.0,1671,3,4,550.0,1,290000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.421177528595393,7.262635613572374,40.87786687193939
82,3,1900,0,0,0.0,2,0.0,245.0,797,1,2,0.0,0,44000,0.0,1,0,0,0,0,0,0,0,0,0,0,6.680854678790215,5.501299026038294,28.231188426986208
83,6,2001,0,0,0.0,3,0.0,804.0,1961,2,3,560.0,1,215000,1.0,1,0,1,0,0,0,0,1,0,0,0,7.581209826196346,6.6896117069125625,44.28317965096906
84,5,1972,0,0,144.0,3,0.0,1153.0,1193,2,2,501.0,1,146500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.084226422097916,7.050131193258335,34.539832078341085
85,7,2000,0,0,0.0,3,0.0,673.0,1382,2,3,490.0,1,165000,0.0,1,0,0,0,1,0,0,0,0,0,0,7.231287004327616,6.511760188375347,37.17526059088221
86,6,1916,0,0,0.0,4,0.0,714.0,2526,2,3,216.0,1,136000,0.0,1,0,0,1,0,0,0,0,0,0,0,7.8343923029104365,6.570896967843748,50.25932749251625
87,6,1957,0,0,902.0,3,1.0,1705.0,1390,1,4,550.0,1,252000,1.0,1,0,1,0,0,0,0,1,0,0,0,7.237059026124737,7.441326254803057,37.282703764614496
88,5,1939,0,0,0.0,3,0.0,690.0,1558,1,2,400.0,1,150000,0.0,1,0,0,1,0,0,0,0,0,0,0,7.351158226430694,6.5367060902399095,39.4715087119811
89,5,1960,1,0,0.0,3,0.0,978.0,1422,1,2,286.0,1,139900,1.0,1,0,1,0,0,0,0,0,0,0,0,7.259819610363186,6.885519894931418,37.70941526992961
90,5,1930,0,0,0.0,3,0.0,1078.0,1573,2,2,360.0,0,162900,0.0,1,0,0,1,0,0,0,0,0,0,0,7.360739903058278,6.982872027863764,39.66106403010388
91,2,1947,0,0,0.0,3,0.0,0.0,660,1,1,0.0,0,63900,0.0,0,0,1,0,0,0,0,0,0,0,0,6.492239835020471,-4.605170185988091,25.69046515733026
92,6,1978,0,0,144.0,3,0.0,1140.0,1707,2,2,479.0,1,184000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.442492722794441,7.038792313279893,41.31585652022719
93,5,1959,0,0,132.0,3,0.0,1466.0,1466,1,1,528.0,1,149900,1.0,1,0,1,0,0,0,0,0,0,0,0,7.290292882446597,7.290299703705733,38.28837943815329
94,9,2000,1,0,260.0,3,0.0,1614.0,1638,2,4,495.0,1,300000,1.0,1,0,0,0,1,0,0,0,0,0,0,7.401231264413015,7.386477044597565,40.47221268969612
95,5,1960,0,0,275.0,3,0.0,988.0,1721,2,2,626.0,1,145000,0.0,1,0,1,0,0,0,0,0,0,0,0,7.450660796211539,6.895692819154136,41.48493702538308
96,6,1997,0,0,0.0,3,0.0,928.0,1764,2,3,470.0,1,231500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.475339236566737,6.833042508590211,42.0
97,5,1940,0,0,0.0,3,0.0,996.0,996,1,2,0.0,1,108000,0.0,1,0,1,0,0,0,0,0,0,0,0,6.903747257584598,6.903757297694839,31.559467676119
98,5,1956,0,0,0.0,3,0.0,1202.0,1202,1,2,304.0,1,120000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.091742115095153,7.0917504345281,34.66987164671943
99,5,1961,1,0,57.0,3,0.0,988.0,988,1,2,572.0,1,128500,0.0,1,0,1,0,0,0,0,0,0,0,0,6.895682697747868,6.895692819154136,31.432467291003423
100,5,1947,0,0,0.0,3,0.0,720.0,1284,1,2,240.0,1,110000,0.0,1,0,0,1,0,0,0,0,0,0,0,7.157735484249907,6.57926510080254,35.832945734337834
101,9,1977,0,0,1050.0,4,0.0,994.0,2944,2,3,864.0,1,150000,1.0,1,0,1,0,0,0,0,1,0,0,0,7.987524479848767,6.901747266968142,54.258639865002145
102,8,2004,0,0,0.0,3,0.0,707.0,1414,2,3,403.0,1,178000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.254177846456518,6.561044810068114,37.603191353926334
103,7,1932,0,0,0.0,3,0.0,637.0,1609,1,3,579.0,1,199500,0.0,1,0,1,0,0,1,0,0,0,0,0,7.3833681469923835,6.456785354036069,40.11234224026316
104,6,1997,0,0,0.0,3,0.0,813.0,1525,2,2,400.0,1,183500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.329749689041512,6.700743409595166,39.05124837953327
105,5,1967,1,0,0.0,3,0.0,624.0,1656,1,2,288.0,1,126000,1.0,1,0,0,1,0,0,0,0,0,0,0,7.412160334945205,6.436166393882044,40.69397989875161
106,7,1977,0,0,0.0,3,0.0,1055.0,1055,2,2,440.0,1,148500,1.0,1,0,1,0,0,0,0,0,0,0,0,6.961296045910167,6.96130552453823,32.48076353782343
107,5,1939,0,0,0.0,4,0.0,676.0,1352,2,3,720.0,1,149000,0.0,1,0,1,0,0,0,0,0,0,0,0,7.20934025660291,6.516207868832958,36.76955262170047
108,6,1977,0,0,0.0,3,0.0,855.0,1456,2,2,440.0,1,137900,1.0,1,0,1,0,0,0,0,0,0,0,0,7.283448228756631,6.751113164774797,38.157568056677825
109,8,1993,0,0,0.0,3,1.0,1719.0,1719,1,3,473.0,1,324000,1.0,1,0,1,0,0,0,0,1,0,0,0,7.449498005382849,7.449503822701589,41.46082488325576
110,5,1925,0,0,0.0,3,0.0,864.0,864,1,2,0.0,1,98000,0.0,1,0,1,0,0,0,0,0,0,0,0,6.761572768804055,6.76158434281115,29.393876913398138
111,6,1973,0,0,359.0,3,0.0,483.0,987,1,2,264.0,1,103400,0.0,1,0,0,1,0,0,0,0,0,0,1,6.894670039433482,6.180037357371996,31.416556144810016
112,8,2006,0,0,108.0,3,0.0,1554.0,1554,2,3,627.0,1,209500,1.0,1,0,1,0,0,0,0,0,0,1,0,7.348587530927593,7.348593965913323,39.42080668885405
113,10,2006,1,0,662.0,3,1.0,1528.0,3390,3,4,758.0,1,545224,1.0,1,0,1,0,0,1,0,1,0,0,0,8.128585200374497,7.331721514207668,58.22370651203855
114,6,2000,0,0,0.0,3,0.0,982.0,1889,2,2,431.0,1,215000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.543802867501509,6.889601491602005,43.46262762420146
115,6,1931,0,0,0.0,3,0.0,884.0,1367,1,2,560.0,1,127500,0.0,1,0,0,1,0,0,0,0,0,0,0,7.220373836723949,6.784468374790856,36.9729630946723
116,7,2003,0,0,500.0,3,0.0,0.0,1922,3,3,672.0,1,198500,1.0,0,0,1,0,0,0,0,0,0,0,0,7.561121589530238,-4.605170185988091,43.840620433565945
117,6,1981,0,0,210.0,4,0.0,1422.0,1422,2,3,576.0,1,175500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.259819610363186,7.259826642687264,37.70941526992961
118,7,2000,0,0,144.0,3,0.0,985.0,1842,2,3,486.0,1,217500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.518607216815252,6.892651793404819,42.91852746774987
119,5,1966,1,0,165.0,3,0.0,864.0,1120,1,2,656.0,1,148800,1.0,1,0,1,0,0,0,0,0,0,0,0,7.02108396428914,6.76158434281115,33.46640106136302
120,9,2005,1,0,208.0,3,0.0,1992.0,2868,3,4,716.0,1,556581,1.0,1,0,1,0,0,0,0,0,0,0,0,7.961370201719511,7.596899458212264,53.55371135598354
121,6,1957,1,0,0.0,3,0.0,1478.0,1478,1,2,442.0,1,156500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.298445101508147,7.298451867385123,38.44476557348217
122,7,1995,0,0,0.0,4,0.0,930.0,1995,2,3,610.0,1,237000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.598399329323964,6.835195338777664,44.66542286825459
123,5,1958,0,0,0.0,3,0.0,912.0,912,1,2,297.0,1,120000,1.0,1,0,1,0,0,0,0,0,0,0,0,6.815639990074331,6.815650954926498,30.199337741083
124,6,2005,0,0,0.0,3,0.0,1326.0,1326,2,3,388.0,1,203000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.189922170745808,7.189929712195501,36.41428291206625
125,8,1987,0,0,0.0,3,0.0,1191.0,1204,2,2,461.0,1,130000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.093404625868766,7.082556965625677,34.698703145794944
126,6,1964,0,0,360.0,3,1.0,780.0,1611,1,2,442.0,1,167900,1.0,1,0,1,0,0,0,0,0,0,0,0,7.384610383176974,6.659306740114276,40.13726448077895
127,4,1970,0,0,160.0,3,0.0,960.0,960,1,2,576.0,1,129000,0.0,1,0,1,0,0,0,0,0,0,0,0,6.866933284461882,6.8669437010742955,30.983866769659336
128,5,1957,0,0,64.0,3,0.0,1070.0,1236,1,3,447.0,1,134450,1.0,1,0,1,0,0,0,0,0,0,0,0,7.119635638017636,6.9754232732066725,35.156791662493895
129,5,1918,0,0,0.0,4,0.0,816.0,1416,2,3,576.0,0,112000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.255591274253665,6.7044266097909775,37.62977544445356
130,7,1988,0,0,360.0,3,0.0,929.0,1873,2,3,619.0,1,207000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.5352967024440884,6.834119503018552,43.278170016764804
131,5,1922,1,0,0.0,3,0.0,1040.0,2128,2,2,0.0,1,62500,0.0,1,0,0,1,0,0,1,0,0,0,0,7.662937850461535,6.946985607473806,46.130250378683186
132,7,2003,0,0,106.0,3,0.0,764.0,1626,2,3,474.0,1,154000,1.0,1,0,1,0,0,0,0,0,0,1,0,7.3938782901077555,6.6385808780860955,40.32369030731191
133,5,1957,0,0,0.0,3,0.0,816.0,816,1,2,308.0,1,129900,0.0,1,0,1,0,0,0,0,0,0,0,0,6.704414354964107,6.7044266097909775,28.5657137141714
134,7,1926,0,0,0.0,3,0.0,572.0,1111,1,2,288.0,1,116900,0.0,1,0,0,1,0,0,0,0,0,0,0,7.01301578963963,6.349156473744463,33.331666624997915
135,6,1978,0,0,0.0,3,0.0,855.0,1441,2,2,440.0,1,148500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.273092595999522,6.751113164774797,37.960505792204614
136,5,1984,0,0,0.0,3,0.0,1060.0,1126,1,2,506.0,1,152000,1.0,1,0,1,0,0,0,0,1,0,0,0,7.026426808699636,6.966033621023877,33.555923471125034
137,6,1920,0,0,0.0,4,0.0,768.0,1376,1,3,576.0,0,165000,0.0,1,0,1,0,0,0,1,0,0,0,0,7.226936018493289,6.643802753896235,37.094473981982816
138,5,1942,0,0,224.0,3,0.0,728.0,1644,1,3,312.0,1,146500,1.0,1,0,1,0,0,0,0,0,0,0,0,7.404887575616125,6.590314784366081,40.54626986542659
139,7,1978,0,0,206.0,3,0.0,1271.0,1601,2,2,478.0,1,157000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.3783837129967145,7.147567138979117,40.01249804748511
140,7,1890,0,0,0.0,3,0.0,1313.0,2495,2,2,342.0,1,184000,0.0,1,0,0,1,0,0,0,0,0,0,0,7.822044008185619,7.1800774904200235,49.949974974968704
141,6,2002,0,0,0.0,3,0.0,783.0,1509,2,3,393.0,1,183200,1.0,1,0,1,0,0,0,0,0,0,0,0,7.319202458767849,6.663145467301331,38.84584919911006
142,5,1962,0,0,116.0,3,0.0,1092.0,1092,1,2,288.0,1,139000,1.0,1,0,1,0,0,0,0,0,0,0,0,6.9957661563048505,6.995775313772078,33.04542328371661
143,7,1993,1,0,651.0,3,1.0,1311.0,2418,2,3,983.0,1,341000,1.0,1,0,1,0,0,0,0,0,1,0,0,7.790696031174738,7.1785531114996735,49.17316341257699
144,5,1975,0,0,0.0,3,0.0,1056.0,1074,1,2,495.0,1,153500,1.0,1,0,1,0,0,0,0,0,0,0,0,6.97914527506881,6.962252933918339,32.77193921634788
145,1,1952,0,0,0.0,1,0.0,0.0,733,1,1,487.0,0,13100,1.0,0,0,0,0,0,0,0,0,0,0,0,6.597145701886651,-4.605170185988091,27.073972741361768
146,7,2003,0,0,252.0,3,0.0,884.0,1768,2,3,543.0,1,224900,1.0,1,0,1,0,0,0,0,0,0,0,0,7.477604243197589,6.784468374790856,42.04759208325728
147,7,2005,0,0,0.0,3,0.0,1257.0,1266,2,3,453.0,1,176000,1.0,1,0,0,0,1,0,0,0,0,0,0,7.143617602704121,7.136491164008086,35.58089374931439
